№,Unit,Тип ЦА,1. Переменные расходы,,,,,,,,"2. Переменные расходы
/1 покупатель",,,3. Доходы,,,4. Доходы/1 покупатель,5. Маржинальная прибыль,,,,,,,
,,,стоимость привлечения,,стоимость реализации,,,,,всего,,,,,,,,на 1 покупателя,на всех покупателей за запуск,ставка маржинальности,,Постоянные расходы / месяц,,,
,,,Buyers,Marketing Costs,расходные материалы,ставка специалиста/1 час,"длительность оказания услуги, час",стоимость оказания услуги,бонусы продаж,,CAC,COGS,всего,Revenue,AvP,APC,ARPPU,,,,,аренда производственного помещения,"ФОТ 
(функция РП)",инфраструктура и ЖКХ,всего
,Month (Average),,,,,,,,,,,,,,,,,,,,,"р.0,00","р.0,00","р.1 500,00","р.1 500,00"
1,Подписка на AI Task Manager,Студент / работающий,1000,50000,"р.0,00","р.0,00",0,30000,"р.0,00","р.30 000,00",50,"р.30,00","р.80,00","р.199 000,00","р.199,00",1,"р.199,00","р.119,00","р.119 000,00","59,80%",,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ВСЕГО,"р.119 000,00",,,,,,
,,,,,,,,,,,,,,,,,,"ПРИБЫЛЬ КОМАНДЫ ПРОЕКТА, 1 МЕС.","р.117 500,00",,,,,,