Отметка времени,Ваш род деятельности:,Сколько задач у вас обычно в неделю?,Как вы сейчас фиксируете задачи?,"Вспомните последний раз, когда вы забыли важную задачу.
Что это была за задача?",Сколько времени вы тратите на организацию задач в неделю?  ,"Сколько денег вы сейчас тратите на сервисы для управления задачами? 
","Было ли у вас такое, что нужно быстро записать задачу ""на ходу""?",Используете ли вы мессенджеры для работы/учёбы?,"В какой ситуации это произошло?

Где вы были? Чем занимались?","Когда задача появилась, что вы сделали?","Почему вы не зафиксировали задачу сразу? 
Что помешало?","Что вы почувствовали, когда забыли задачу?",Что вас не устраивает в текущем способе?,"Если вы не платите, то почему?","Если бы можно было быстро записать задачу прямо в Telegram (без открытия отдельных приложений), вы бы пользовались таким решением?",Почему вы бы НЕ стали этим пользоваться?
09.03.2026 20:16:26,Студент,10-20,"Приложения, Стараюсь держать в голове",Ничего,<30 минут,0₽,AI,Да,,,,,,,,
10.03.2026 20:15:19,Студент,10-20,"Бумажник / ежедневник, Телефон/напоминания, Стараюсь держать в голове",я иду и делаю её с опозданием,<30 минут,0₽,"браслет-шокер, чтоб время от времени напоминал о делах разрядом тока",Да,,,,,,,,
10.03.2026 20:17:27,Студент,10-20,Телефон/напоминания,происходит неприятная ситуация,<30 минут,0₽,"пуш уведы с напоминанием, голосовой ввод задач",Да,,,,,,,,
10.03.2026 20:21:13,Студент,5-10,Телефон/напоминания,Нагоняю,<30 минут,0₽,"Напоминания, легкая работа с таблицами, возможность связать с приложениями банка, госуслуг и подобного",Да,,,,,,,,
10.03.2026 20:21:52,Студент,10-20,Телефон/напоминания,Ничего страшного,30-60 минут,До 200 ₽ в месяц,"Возможность рисовать и прикреплять файлы, проигрывать видео/аудио",Да,,,,,,,,
10.03.2026 20:22:42,Студент,5-10,Стараюсь держать в голове,в зависимости от важности ситуации ,<30 минут,До 200 ₽ в месяц,"Интерфейс в стиле аниме, уведомление стон альтушки, и если не выполнил задачу авто контракт на СВО",Да,,,,,,,,
10.03.2026 20:23:06,Студент,20+,"Телефон/напоминания, Стараюсь держать в голове",Крах империй (я расстраиваюсь и ищу выход из ситуации),30-60 минут,200-500 ₽ в месяц,"Интерактивное расписание с возможностью добавлять/переставлять/отмечать задачи, настраиваемые напоминалки(их частота, вид), возможность ставит цели по количеству задач/времени выполнения, смешные мотивационные уведы",Да,,,,,,,,
10.03.2026 20:24:32,Студент,10-20,"Телефон/напоминания, Приложения, Стараюсь держать в голове",Вспоминаю в последний момент и приходится меньше спать(,1-2 часа,До 200 ₽ в месяц,"Привычки (рутинные задачи)
",Да,,,,,,,,
10.03.2026 20:26:51,Студент,5-10,"Бумажник / ежедневник, Телефон/напоминания, Стараюсь держать в голове",печалька,30-60 минут,0₽,напоминание,Да,,,,,,,,
10.03.2026 20:28:04,Студент,10-20,Стараюсь держать в голове,не забываю>:),2+ часов,До 200 ₽ в месяц,"напоминания, удобный интерфейс, польза",Да,,,,,,,,
10.03.2026 20:48:48,Студент,10-20,Стараюсь держать в голове,Вспоминаю о ней поздно,1-2 часа,0₽,Напоминания в уведомлениях,Да,,,,,,,,
10.03.2026 20:56:35,Студент,5-10,"Телефон/напоминания, Стараюсь держать в голове",вспоминаю в последний момент,<30 минут,0₽,только напоминания,Да,,,,,,,,
10.03.2026 22:11:21,Студент,20+,"Телефон/напоминания, Стараюсь держать в голове",происходит дедлайн,1-2 часа,0₽,заметки,Да,,,,,,,,
10.03.2026 22:40:35,Студент,10-20,Стараюсь держать в голове,Пытаюсь исправить данный промах,<30 минут,До 200 ₽ в месяц,-,Да,,,,,,,,
10.03.2026 23:37:15,Студент,5-10,"Бумажник / ежедневник, Стараюсь держать в голове",страдания,<30 минут,0₽,напоминалки,Да,,,,,,,,
11.03.2026 0:09:25,"Студент, Работающий",5-10,"Телефон/напоминания, Стараюсь держать в голове",Неприятно бывает но я обычно не забываю,<30 минут,0₽,"Хотелось бы вообще приложение, где можно не просто задачи писать, но и делать обыяные заметки на день",Да,,,,,,,,
11.03.2026 4:08:09,Студент,20+,Стараюсь держать в голове,Спрашиваю её заново ,2+ часов,500+ ₽ в месяц,"Сортировка, отметка выполнения ",Да,,,,,,,,
11.03.2026 19:34:36,"Студент, Работающий",20+,"Телефон/напоминания, Стараюсь держать в голове",Беда,<30 минут,0₽,"Категории задач, календарь, статус задачи выполнил/нет, ",Да,,,,,,,,
23.03.2026 21:31:00,Студент,,"Телефон/напоминания, Держу в голове",Мама попросила купить батат,,0₽,Иногда,Да,"Я предполагаю, был обычный рабочий день",Сразу записал,"Я думала я запомню, ну и я не посчитала задачу достаточно важной, чтобы ее записывать","Почувствовала что я что то забыла, что то упустила",В принципе все устраивает,А зачем? ,Возможно,Не привычно. И я думаю интерфейс телеграм не очень подходит для подобного
23.03.2026 21:46:56,Студент,,Телефон/напоминания,Зайти в магазин ,,0₽,"Да, часто",Да,Шел с друзьями,Сразу записал,Забыл,Что придется возвращаться ,Все устраивает,Потому что гугл календарь бесплатный),Возможно,"1. Тг сейчас плохо работает
2. Придется проделывать больше действий, нежели чем с помощью календаря"
23.03.2026 22:41:28,Студент,,"Телефон/напоминания, Держу в голове, Бумага",Забыл,,0₽,Иногда,Да,Не помню,"Решил запомнить, мб записал в заметки",Лень и авоська,Разочарование,Не знаю,А зачем?,Возможно,Вопросы конфиденциальности. Тг итак уже захламлён. Слишком легко отвлечься и забыть записать.
23.03.2026 23:26:14,Студент,,Бумажник / ежедневник,Домашка по тфкп,,До 200 ₽ в месяц,"Да, часто",Да,Отмечал кр по дифурам,Отложил,Было лень,Недовольство ,Всё устраивает ,Записи в блокноте придают некий вайб крутого дядьки,Нет,"Есть ""заметки"", что гораздо удобнее."
23.03.2026 23:28:34,"Студент, Работающий",,"Бумажник / ежедневник, Телефон/напоминания, Держу в голове",Обработать графики ,,0₽,Иногда,Да,"Я училась и готовилась к контрольным, дотянула до победного",Отложил,"Я просто тянула до победного и не успела ничего, забыла, что на это время потратить надо) ",Досадно ,"Забыть, что что-то записал ",Не вижу смысла ,Да,Неудобство
24.03.2026 9:24:50,"Студент, Работающий",,"Телефон/напоминания, Приложения (Todo, Notion и т.д)","Не забываю задачи, веду таск менеджер",,0₽,"Да, часто",Да,Не забываю,Сразу записал,Зафиксировала,Не забыла,Все устраивает ,"Хватает бесплатных функций, Напоминания бесплатные ",Возможно,"Тг блокируют, на рабочей технике нет возможности им пользоваться, только в личных целях "
26.04.2026 17:48:28,кот сосун,,я сосу,кот сосун,,0 ₽,"Да, часто",Да,я кот сосун,я сосал,помешало сосатость,сосание,сосание,я сосу,Да,зачем сосать
26.04.2026 17:48:54,"Студент, Работающий, Стартапер, ",,Гей попка,Гей попка,,0 ₽,Нет,"Да, Нет",Гей попка,Гей попка,Гей попка,Гей попка,Гей попка,Гей попка,Нет,Гей попка
26.04.2026 17:50:53,Студент,,"Бумажник / ежедневник, Держу в голове",Домашка по теормеху,,0 ₽,Иногда,Да,"Я была дома и играла в компьютер, думая, что на завтра ничего не надо делать ",Отложил,Про нее написали в общий чат неделю назад,Грусть,,Я редко забываю задачи,Да,Вдруг все слетит и удалится
26.04.2026 18:00:58,Студент,,"Телефон/напоминания, Держу в голове",3 недели назад забыл сделать лабу по теорверу,,0 ₽,"Да, часто",Да,я был дома,"хотел записать, но забыл",лень,тревогу,"все устраивает, просто я рассеянный",не плачу,Да,
26.04.2026 18:13:46,Студент,,"Телефон/напоминания, Приложения (Todo, Notion и т.д), Бумага",Продавал вещь через Авито и забыл о назначенной встрече с покупателем,,0 ₽,"Да, часто",Да,"Был занят личными делами и учёбой, просто забыл об ещё одном деле",Отложил,Бы в дороге,Грусть,"При хранении заметок в телефоне к ним нет доступа, если телефон разряжен","Есть бесплатные варианты, которые меня полностью устраивают ",Да,"Записываю в «избранное». Если сделаешь удобнее, буду использовать. "
26.04.2026 19:10:08,Студент,,"Бумажник / ежедневник, Телефон/напоминания",Подготовка к контрольной,,0 ₽,"Да, часто",Да,"Сидел на элективе, делал дз, сводил сегодняшние планы на собрания",Решил запомнить,"Большое количество разной внеучебной деятельности, отсутствие свободного времени",Тревогу,,"Есть ежедневник, в который фиксирую все мысли. Другой вопрос - стоимость ежедневника. Покупаю новый каждый год",Да,
26.04.2026 19:18:40,"Студент, Работающий, Стартапер",,"Бумажник / ежедневник, Телефон/напоминания, Держу в голове, Бумага",Дедлайн по учебе (всегда забываю о каждом),,0 ₽,"Да, часто",Нет,"Если вопрос как вспомнила, то напомнили кенты",Сразу записал,Было лень,"Страх и шок на 2 сек, потом снова чилл",,Беспоатные варики вполне устраивают,Да,
26.04.2026 19:42:40,Студент,,"Телефон/напоминания, Держу в голове",Покупка контрацептива,,0 ₽,Иногда,Да,В самый ответственный,Сразу записал,"Не ожидал, что пригодится",Тоску,Муторно,Есть «заметки» или «напоминания» в телефоне,Нет,"Конфиденциальность не соблюдается, нужно использовать VPN"
26.04.2026 21:13:02,Работающий студент стартапер ,,Я больше не теряю носки,Задача о том где я потерял носок ,,0 ₽,"Да, часто",Да,"Проснулся, начал надевать носок, а его нет ",Взял другой носок ,А зачем ,"Боль, грусть, тоска, мысль о покупки нового носка ",,"А зачем, я чё богатый чтоли",Да,
27.04.2026 1:07:08,Студент,,"Держу в голове, Бумага",Выпить таблетки ,,0 ₽,"Да, часто",Да,Уезжал в другое место,Решил запомнить,Память,Разочарование,,А зачем?,Возможно,